Project,Region,exact_allocated_emissions_kgco2,matched_input_share
i-0fe9bc9e0fa4c8158,ca-1.platform.sh,21263.81137904413,0.028156655940587267
i-0ca38a40ee009a71c,ca-1.platform.sh,20025.72113969535,0.026197013144289176
i-030f5adf5f18339a1,ca-1.platform.sh,16769.74543764277,0.021691980411141225
i-0bde2599572b1451f,us-2.platform.sh,14526.047061359173,0.025570828898991586
i-0c5d2f6223831a93a,us-2.platform.sh,12105.261994991592,0.010696105932602503
i-04547e1c229a07e19,us-2.platform.sh,12017.616338104202,0.010715895249536915
i-0710f491e47b45533,us-2.platform.sh,11640.845529344362,0.010383832270134178
i-0c2d609c86caa74cc,us-2.platform.sh,9866.652002530593,0.016172723804486616
i-0c7dfd18413f9b781,us-2.platform.sh,9759.777052934254,0.01516861644623602
i-0e6983baf545b5e9e,us.platform.sh,8358.504828296906,0.007103947711348342
i-0318c1c7d29708659,us.platform.sh,7111.333299683434,0.006158453048718644
i-0150ec9391e5c6af0,us.platform.sh,6852.755857181008,0.005985537606821904
i-0ff602b7fe6d9c820,eu-4.platform.sh,6338.270679627104,0.010651515403859408
i-0cd54ac67739d11d6,eu-4.platform.sh,5283.972490109216,0.011755951897305729
i-0fb0dc3a460ff2c40,au.platform.sh,5267.5142977994665,0.008917507967642
i-03e6a1b5a2e8342b5,eu-2.platform.sh,5076.986600686203,0.0049259013099623595
i-041c54ab8dda84969,eu-4.platform.sh,5019.7552328566235,0.00924165368087478
i-079b9c92cef941628,eu-2.platform.sh,4899.823152595136,0.004806724839975875
i-073cb14da38074e97,eu-2.platform.sh,4849.312343414575,0.014286031170411906
i-00c70faaec1e1a33d,us.platform.sh,4810.118907512225,0.014486762339116383
i-0da27dc38212cad20,au.platform.sh,4651.7073155882235,0.008092732239564505
i-03768befdbb1332b3,au.platform.sh,4557.902493386903,0.007896468839206515
i-0a159675b528495de,us.platform.sh,4395.908846697394,0.014632383396407163
i-0e2156f361bbe7860,au.platform.sh,4273.715155021355,0.00779594864149238
i-0ee6e0eaa0c8f2f5c,eu-2.platform.sh,4247.326850995061,0.004395248546325761
i-023b85f3ad57b0943,eu.platform.sh,4163.225338036991,0.004471886999924776
i-03dd74d632798c684,eu.platform.sh,3987.642755075235,0.004412404426232908
i-01792af75c80db7ef,au.platform.sh,3949.7205355573874,0.011097143895378882
i-04aeb47b5bb3c8760,eu.platform.sh,3853.047554510245,0.004192823311868582
i-0622c4d1f5b031993,us.platform.sh,3732.7123361911035,0.011372108952142704
i-061a887045e30e3c5,eu-4.platform.sh,3595.1396982723004,0.0036671077345261874
i-09172e0d9c83c78ed,eu-4.platform.sh,3406.6516004915643,0.0035008180599893886
i-00ee7936960f0bd4a,eu-4.platform.sh,3369.968859158015,0.003466286110634364
i-04b82723ca00f54f0,eu-4.platform.sh,3328.429838291775,0.003455378328074913
i-0e9109387c93855ea,eu.platform.sh,3249.6767786949567,0.009793510400939042
i-0ea2a1fb8605b086b,eu-4.platform.sh,3097.7999647835213,0.003296888138506525
i-0428468d050d87973,eu-4.platform.sh,2999.024370383498,0.0032014726290787456
i-09ff44c681e4e9853,au.platform.sh,2730.390004854724,0.0065699693977798665
i-0cd0ce15bdba3a9c3,eu.platform.sh,2635.2865841900034,0.00851653955321797
i-0f74c9f89b1ce3376,eu-2.platform.sh,2607.7582659687914,0.006941227818434579
i-0220800123df89fd1,eu-3.platform.sh,2493.510882706183,0.008211183887775881
i-0cd4909758091a074,eu-3.platform.sh,1807.4960052754639,0.001406673636910796
i-0dfc3220067c5f022,eu-3.platform.sh,1794.2541881225739,0.0013974631209011882
i-0372c710b0f7d6d0e,eu.platform.sh,1782.4638915481314,0.003818154451727687
i-05cfabc3ff9b924dd,eu-3.platform.sh,1482.8619013237817,0.0011793830677721475
i-074a8e1f2139e0f19,eu-3.platform.sh,1354.8487654697317,0.004260456510736081
i-0eedd9cec1672a974,eu-3.platform.sh,1230.4703264861535,0.0036996640951663527
i-0a7cc3741f5c9c59b,admin.platform.sh,1112.0453360580238,0.0004871229999318145
i-09c2484ee2fe29a1b,eu.platform.sh,1093.1608237983348,0.0022199234886362378
i-04105e538df704627,eu-2.platform.sh,1045.678112013682,0.002723419916454874
i-0ad1d67144714cbc6,eu-2.platform.sh,1028.213004150839,0.0019356877085766
i-0d0feef0068c93bc2,us-2.platform.sh,1010.2630009881335,0.0017418957160003593
i-0ddf7df0a2b9edf0d,us.platform.sh,932.5647519552534,0.0012593624236507885
i-0f97ff70d13b89644,eu.platform.sh,912.9156485466312,0.002075788757453631
i-0456026736f72c4e2,us-2.platform.sh,899.0217317614951,0.0017124785002572075
i-0eda32242bb116ac4,eu-4.platform.sh,876.6317030674659,0.0017485530370316084
i-090713d8d74a163da,eu.platform.sh,843.0315614035039,0.0020176038832621515
i-0649c8c4d67235d05,eu-4.platform.sh,762.4771759865413,0.0014871221392507114
i-0c20a65d38056d672,au.platform.sh,752.4666512998963,0.0024587500515811695
i-0c095999dd58fd57b,au.platform.sh,750.0594522090206,0.0019324984522751628
i-04d42470309453e21,eu-3.platform.sh,727.2946082250577,0.0005811080200918248
i-017471f60e8301187,us.platform.sh,713.8415556059501,0.0010837119659462182
i-092703aeec9af6b25,us-2.platform.sh,699.0383441585819,0.0014233537801110478
i-08f538a9ee65fd850,us.platform.sh,683.6894476016543,0.001141957134987987
i-0fc94e07630d06201,eu-2.platform.sh,626.6594212613451,0.0013229056900244235
i-0ba0e9ce823d3562f,au.platform.sh,609.6548889329582,0.002017074481980476
i-06614c0df17bc9f62,eu-4.platform.sh,548.9013861100734,0.0012461715684653082
i-00c3107007a22ce48,us-2.platform.sh,533.5803380392332,0.003686948992442628
i-04cd46307b5b6f7fb,eu-3.platform.sh,526.6447336814022,0.0004051171781819628
i-000a1e1fd8f4877c5,eu-3.platform.sh,524.14437442725,0.0004047862574675188
i-0e0bec9a682819fc9,au.platform.sh,522.9765624780083,0.0023553117984298514
i-08906973994a4adc8,au.platform.sh,522.7056429312182,0.0023507891408925895
i-0db1e646d12f9ab05,au.platform.sh,521.3408234421761,0.0023297201752921722
i-092c8b7d385eada98,eu-3.platform.sh,521.2353460521184,0.0008588758418672958
i-06c9304ae2f366330,au.platform.sh,520.6780671086923,0.0023193511555725955
i-0b9f5fc5aef188ff9,au.platform.sh,520.579358718599,0.002317806833486701
i-0d3300008edaf2d8d,au.platform.sh,519.098732867199,0.0022946420021982845
i-0b177846ba03a4bd2,au.platform.sh,517.5334998242906,0.0022701534662648154
i-0f2cc7a6f55ec877a,au.platform.sh,517.5193986257059,0.0022699328488239735
i-093af30be658b7aa3,au.platform.sh,517.3642854412735,0.002267506056974711
i-0ef491764a91b06dc,au.platform.sh,517.3219818455192,0.0022668442046521846
i-078cdca567dbfa070,eu-3.platform.sh,516.7058591601526,0.000398664022438219
i-07d001f6079167c82,eu-2.platform.sh,516.6228115745902,0.0012514121838280974
i-023d107f65c4f7810,us-2.platform.sh,506.18465007778985,0.0032646320313609984
i-00b8244984dbd2d79,us-2.platform.sh,501.0507201994564,0.003182176255587188
i-03bf50f0daf96d78e,eu-3.platform.sh,500.9862435936079,0.001185708435805661
i-0c5a6ae1d1e6f3dc1,eu-3.platform.sh,500.8170292105908,0.0011830610265155563
i-0e69ab09bc298d4e0,eu-3.platform.sh,500.7888268134213,0.0011826197916338722
i-047ba31dc70f85a47,eu-3.platform.sh,500.76062441625174,0.001182178556752188
i-0bfa0520e9d70abc8,eu-3.platform.sh,500.3798920544632,0.0011762218858494525
i-0756ad441a3a35a54,eu-3.platform.sh,500.2811836643699,0.001174677563763558
i-0e15c4d40ccb34545,eu-3.platform.sh,500.098194845196,0.0011718117432070196
i-0036668b1e83d8e86,eu-3.platform.sh,499.9375088613849,0.0011699342887854537
i-03d592c735ffde9d4,eu-2.platform.sh,499.84851367753186,0.0011954707575629225
i-0f07c98193b3519a1,eu-3.platform.sh,499.8440465082423,0.001167838423097454
i-0c9912358b5ffe0f6,eu-3.platform.sh,499.8255177288407,0.0011672317251351385
i-01fea9c36d59fe25b,eu-3.platform.sh,499.6422021472388,0.0011643636984041918
i-078b3968084de2aab,eu-3.platform.sh,499.6139997500693,0.0011639224635225077
i-041d16ca882a8681d,eu-3.platform.sh,499.5998985514845,0.0011637018460816655
i-05d9a992efaab9da5,eu-3.platform.sh,499.5575949557302,0.0011630399937591393
i-08ac33853a6399183,eu-3.platform.sh,499.5011901613912,0.001162157523995771
i-04c5babef6411f3c4,eu-3.platform.sh,499.4915165436233,0.0011623229870764025
i-05a614fc8e21a53ef,eu-3.platform.sh,499.44478536705213,0.0011612750542324029
i-0ac87f147b8895107,eu-3.platform.sh,499.4165829698826,0.0011608338193507188
i-087dccc3e0ad355b1,eu-3.platform.sh,499.37004901455293,0.0011601057817959399
i-0269e3a249f89bba3,eu-2.platform.sh,499.08704895395476,0.0011835574157574513
i-06181d64363ae6e72,eu-2.platform.sh,498.02945906009774,0.0011670111076942965
i-06d3ae655e653c992,eu-2.platform.sh,497.9589530671739,0.0011659080204900862
i-0a2d54447cf7734fb,eu-2.platform.sh,497.8602446770806,0.0011643636984041918
i-0f001f37270206df5,eu-2.platform.sh,497.8179410813263,0.0011637018460816657
