Project,Region,exact_allocated_emissions_kgco2,rank,cumulative_share
i-0fe9bc9e0fa4c8158,ca-1.platform.sh,21263.81137904413,1,0.03799878419245379
i-0ca38a40ee009a71c,ca-1.platform.sh,20025.72113969535,2,0.0737850805586582
i-030f5adf5f18339a1,ca-1.platform.sh,16769.74543764277,3,0.1037528942534023
i-0bde2599572b1451f,us-2.platform.sh,14526.047061359173,4,0.12971118167491286
i-0c5d2f6223831a93a,us-2.platform.sh,12105.261994991592,5,0.15134348596604866
i-04547e1c229a07e19,us-2.platform.sh,12017.616338104202,6,0.17281916601225947
i-0710f491e47b45533,us-2.platform.sh,11640.845529344362,7,0.19362155036388037
i-0c2d609c86caa74cc,us-2.platform.sh,9866.652002530593,8,0.21125342140820752
i-0c7dfd18413f9b781,us-2.platform.sh,9759.777052934254,9,0.22869430514208036
i-0e6983baf545b5e9e,us.platform.sh,8358.504828296906,10,0.24363109213103243
i-0318c1c7d29708659,us.platform.sh,7111.333299683434,11,0.25633916287895064
i-0150ec9391e5c6af0,us.platform.sh,6852.755857181008,12,0.26858515144134076
i-0ff602b7fe6d9c820,eu-4.platform.sh,6338.270679627104,13,0.2799117464442416
i-0cd54ac67739d11d6,eu-4.platform.sh,5283.972490109216,14,0.289354293067299
i-0fb0dc3a460ff2c40,au.platform.sh,5267.5142977994665,15,0.29876742862727707
i-03e6a1b5a2e8342b5,eu-2.platform.sh,5076.986600686203,16,0.3078400880272556
i-041c54ab8dda84969,eu-4.platform.sh,5019.7552328566235,17,0.3168104740221314
i-079b9c92cef941628,eu-2.platform.sh,4899.823152595136,18,0.3255665393971348
i-073cb14da38074e97,eu-2.platform.sh,4849.312343414575,19,0.3342323411169908
i-00c70faaec1e1a33d,us.platform.sh,4810.118907512225,20,0.3428281035157642
i-0da27dc38212cad20,au.platform.sh,4651.7073155882235,21,0.3511407817680598
i-03768befdbb1332b3,au.platform.sh,4557.902493386903,22,0.3592858292446915
i-0a159675b528495de,us.platform.sh,4395.908846697394,23,0.3671413913834703
i-0e2156f361bbe7860,au.platform.sh,4273.715155021355,24,0.37477859136520636
i-0ee6e0eaa0c8f2f5c,eu-2.platform.sh,4247.326850995061,25,0.3823686350092556
i-023b85f3ad57b0943,eu.platform.sh,4163.225338036991,26,0.38980838785246086
i-03dd74d632798c684,eu.platform.sh,3987.642755075235,27,0.3969343717029401
i-01792af75c80db7ef,au.platform.sh,3949.7205355573874,28,0.4039925879171349
i-04aeb47b5bb3c8760,eu.platform.sh,3853.047554510245,29,0.41087804790815924
i-0622c4d1f5b031993,us.platform.sh,3732.7123361911035,30,0.41754846686490465
i-061a887045e30e3c5,eu-4.platform.sh,3595.1396982723004,31,0.42397304123217944
i-09172e0d9c83c78ed,eu-4.platform.sh,3406.6516004915643,32,0.430060784237346
i-00ee7936960f0bd4a,eu-4.platform.sh,3369.968859158015,33,0.4360829745743349
i-04b82723ca00f54f0,eu-4.platform.sh,3328.429838291775,34,0.44203093399094345
i-0e9109387c93855ea,eu.platform.sh,3249.6767786949567,35,0.44783816038171903
i-0ea2a1fb8605b086b,eu-4.platform.sh,3097.7999647835213,36,0.4533739803828881
i-0428468d050d87973,eu-4.platform.sh,2999.024370383498,37,0.45873328675589425
i-09ff44c681e4e9853,au.platform.sh,2730.390004854724,38,0.46361253905484745
i-0cd0ce15bdba3a9c3,eu.platform.sh,2635.2865841900034,39,0.4683218399611089
i-0f74c9f89b1ce3376,eu-2.platform.sh,2607.7582659687914,40,0.472981947305378
i-0220800123df89fd1,eu-3.platform.sh,2493.510882706183,41,0.4774378926777521
i-0cd4909758091a074,eu-3.platform.sh,1807.4960052754639,42,0.4806679180673148
i-0dfc3220067c5f022,eu-3.platform.sh,1794.2541881225739,43,0.4838742801096375
i-0372c710b0f7d6d0e,eu.platform.sh,1782.4638915481314,44,0.48705957269610806
i-05cfabc3ff9b924dd,eu-3.platform.sh,1482.8619013237817,45,0.489709471548726
i-074a8e1f2139e0f19,eu-3.platform.sh,1354.8487654697317,46,0.4921306088008761
i-0eedd9cec1672a974,eu-3.platform.sh,1230.4703264861535,47,0.4943294797162495
i-0a7cc3741f5c9c59b,admin.platform.sh,1112.0453360580238,48,0.49631672320632003
i-09c2484ee2fe29a1b,eu.platform.sh,1093.1608237983348,49,0.498270219759252
i-04105e538df704627,eu-2.platform.sh,1045.678112013682,50,0.5001388639173892
i-0ad1d67144714cbc6,eu-2.platform.sh,1028.213004150839,51,0.5019762976376255
i-0d0feef0068c93bc2,us-2.platform.sh,1010.2630009881335,52,0.5037816544040047
