Project,total_input_share,has_exact_allocation,Region
i-000103b516d1f429e,6.0669796231566995e-09,False,eu-2.platform.sh
i-00013755df9cdbd3c,8.273154031577317e-09,True,eu-5.platform.sh
i-00013bd060acf6359,2.6474092901047413e-08,False,eu-5.platform.sh
i-00023d7ecec81baf1,6.618523225261853e-09,False,eu-2.platform.sh
i-0003145f84302b781,4.8535836985253596e-08,False,eu-3.platform.sh
i-00031c94853edfbe9,2.3164831288416487e-08,False,us-2.platform.sh
i-00051a94f518d38a0,0.00034008178505803827,True,eu-5.platform.sh
i-0006c6c24725422ab,0.0007702306403398483,True,eu-2.platform.sh
i-0008564a0bdcfb28c,0.0005842501377099901,True,eu-4.platform.sh
i-00089302e2ada1e7e,8.273154031577317e-09,False,eu.platform.sh
i-0008ae940a0202ca6,6.067519032799559e-07,True,eu-3.platform.sh
i-00097361bd0b64735,1.7649395267364944e-07,False,eu-3.platform.sh
i-0009c61eb96568e6c,7.721610429472163e-09,False,eu-3.platform.sh
i-000a1e1fd8f4877c5,0.00015200821936769588,True,eu-3.platform.sh
i-000b882786916d150,0.0007791104923337412,True,eu.platform.sh
i-000bd8ea9b058d42a,6.618523225261853e-09,False,eu-3.platform.sh
i-000cd4ca35521a574,3.255339400827515e-08,True,eu-4.platform.sh
i-000d25c5d21551288,1.0479902596887728e-06,True,eu-3.platform.sh
i-000deaed7d42abb5d,0.0002937521224812053,True,us.platform.sh
i-000e0a904305a17bb,2.152950836897992e-08,True,us-2.platform.sh
i-00106891e1668d88f,0.0009951170286622041,True,us-2.platform.sh
i-001459a67d9c25ac4,8.273154031577317e-09,False,eu.platform.sh
i-001550473d622c269,1.5443220858944327e-08,False,eu-3.platform.sh
i-001626d9b1cd42681,1.4355063940043002e-08,True,eu-2.platform.sh
i-0017636e0b8194d93,0.0,False,us.platform.sh
i-001b0604810afbb16,8.273154031577317e-09,True,eu-5.platform.sh
i-001d043f70ad0530b,7.170066827367008e-09,True,eu-5.platform.sh
i-001d389a45ce48051,4.1481594314328665e-05,True,eu-3.platform.sh
i-001ed8da987b6f55d,2.206174408420618e-08,False,us-2.platform.sh
i-001f5808d8cd0f215,3.4752762368645786e-06,True,eu-3.platform.sh
i-001fa9fe6dd61d4b7,8.824697633682472e-07,False,eu-3.platform.sh
i-002142de9af49d17a,3.1437985319993806e-08,False,eu-3.platform.sh
i-00215edabdd6c24d1,1.103087204210309e-07,False,eu-3.platform.sh
i-0021a7422285cec5f,1.930402607368041e-08,False,eu.platform.sh
i-0022773874d546fa7,0.00044967349879633246,True,eu-5.platform.sh
i-002336c69c0cb2c3d,0.0007710028013827954,True,eu-5.platform.sh
i-00258d67bfbf6dec5,1.1582415644208244e-08,True,eu-5.platform.sh
i-0026661120235e2e8,0.0009198699350269977,True,us-2.platform.sh
i-0026aab444890dba2,6.0669796231566995e-09,False,eu-5.platform.sh
i-0026e7d6d266ba240,7.721610429472163e-09,False,eu-3.platform.sh
i-0027800b0a5556162,0.0007696790967377431,True,eu-2.platform.sh
i-0027a9ac480baea18,1.8200938869470098e-08,False,eu-3.platform.sh
i-0028718d5fc1433b2,0.0005275492492391718,True,eu-3.platform.sh
i-002a2e4013cad4848,3.6958936777066405e-06,True,eu-3.platform.sh
i-002bfdefb21c08404,2.206174408420618e-08,False,us-2.platform.sh
i-002d6ebfb9b607c66,6.0669796231566995e-09,False,eu-5.platform.sh
i-002e283a4eeb1a70b,1.0479328439997936e-08,True,eu-5.platform.sh
i-002ffe92c654ed200,7.170066827367008e-09,False,eu.platform.sh
i-0030210e02a4eef2a,2.206174408420618e-08,False,us.platform.sh
i-0030a942acc87063a,1.1582415644208244e-08,False,eu-3.platform.sh
i-00320a9c1152463fc,5.515436021051545e-08,False,eu-3.platform.sh
i-00330de3b0aff0d51,6.0669796231567e-07,False,eu-3.platform.sh
i-00335bb03db0dc7bf,0.0006892750704228537,True,eu-4.platform.sh
i-00351c1fc34599d63,0.0010836092193690315,True,eu-5.platform.sh
i-003554153ec7a98a8,2.426948117008377e-08,True,us-2.platform.sh
i-003611e728b80993f,2.1510200482101024e-08,False,eu-5.platform.sh
i-00361ca1cd54a294a,3.805753938024799e-08,True,au.platform.sh
i-0036668b1e83d8e86,0.0011609992824313502,True,eu-3.platform.sh
i-0038a2c4c0708700a,1.4892537278777935e-08,True,eu-3.platform.sh
i-003983bbcf301bf03,4.5778118974727823e-07,False,us-2.platform.sh
i-0039c0a62ca388bb4,0.001538255106271276,True,au.platform.sh
i-003b130df44739b48,8.273154031577317e-08,False,eu-3.platform.sh
i-003c43d8dc58f8e0b,7.170066827367008e-09,False,eu-2.platform.sh
i-003dc7f58e4847b87,5.515436021051545e-09,False,eu-5.platform.sh
i-003ee67746cf80e89,8.824697633682473e-09,False,eu-2.platform.sh
i-003fee1010605a393,8.157440183855656e-05,True,ca-1.platform.sh
i-0040e3cf33789fe11,7.721610429472163e-08,False,au.platform.sh
