provider,SKU Description,Product category,Usage category,Total emissions kgCO2,bill_key_provider_sku,bill_key_full_grain,total_project_share_for_sku,exact_match_available,allocation_method
AWS,$0.022 per GB - next 450 TB / month of storage used,Uncategorized,Storage,22350.004285714287,AWS || $0.022 per GB - next 450 TB / month of storage used,AWS || $0.022 per GB - next 450 TB / month of storage used || Uncategorized || Storage,,False,shared_overhead
AWS,$0.05 per GB-Month of snapshot data stored - EU (Ireland),grid,Storage,21503.79,AWS || $0.05 per GB-Month of snapshot data stored - EU (Ireland),AWS || $0.05 per GB-Month of snapshot data stored - EU (Ireland) || grid || Storage,,False,shared_overhead
AWS,$0.0125 per GB-Month of storage used in Standard-Infrequent Access,Uncategorized,Storage,19422.652857142857,AWS || $0.0125 per GB-Month of storage used in Standard-Infrequent Access,AWS || $0.0125 per GB-Month of storage used in Standard-Infrequent Access || Uncategorized || Storage,,False,shared_overhead
AWS,$0.05 per GB-Month of snapshot data stored - US East (Northern Virginia),grid,Storage,19061.899999999998,AWS || $0.05 per GB-Month of snapshot data stored - US East (Northern Virginia),AWS || $0.05 per GB-Month of snapshot data stored - US East (Northern Virginia) || grid || Storage,,False,shared_overhead
AWS,$0.088 per GB-month of General Purpose (gp3) provisioned storage - EU (Ireland),grid,Storage,12968.544285714286,AWS || $0.088 per GB-month of General Purpose (gp3) provisioned storage - EU (Ireland),AWS || $0.088 per GB-month of General Purpose (gp3) provisioned storage - EU (Ireland) || grid || Storage,,False,shared_overhead
AWS,"$0.20 per 1,000,000 queries over 1 Billion queries",Uncategorized,Other,10659.220000000001,"AWS || $0.20 per 1,000,000 queries over 1 Billion queries","AWS || $0.20 per 1,000,000 queries over 1 Billion queries || Uncategorized || Other",,False,shared_overhead
AWS,$0.776 per On Demand Linux c5.4xlarge Instance Hour,dedicated,Compute,9023.457142857142,AWS || $0.776 per On Demand Linux c5.4xlarge Instance Hour,AWS || $0.776 per On Demand Linux c5.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (N. Virginia),grid,Storage,7622.528571428571,AWS || $0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (N. Virginia),AWS || $0.08 per GB-month of General Purpose (gp3) provisioned storage - US East (N. Virginia) || grid || Storage,,False,shared_overhead
AWS,$0.054 per GB-Month of snapshot data stored - EU (Frankfurt),dedicated,Storage,7274.897142857143,AWS || $0.054 per GB-Month of snapshot data stored - EU (Frankfurt),AWS || $0.054 per GB-Month of snapshot data stored - EU (Frankfurt) || dedicated || Storage,,False,shared_overhead
AWS,$0.055 per GB-Month of snapshot data stored - Asia Pacific (Sydney),grid,Storage,6774.742857142856,AWS || $0.055 per GB-Month of snapshot data stored - Asia Pacific (Sydney),AWS || $0.055 per GB-Month of snapshot data stored - Asia Pacific (Sydney) || grid || Storage,,False,shared_overhead
AWS,$0.192 per On Demand Linux c5.xlarge Instance Hour,dedicated,Compute,5791.877142857143,AWS || $0.192 per On Demand Linux c5.xlarge Instance Hour,AWS || $0.192 per On Demand Linux c5.xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.194 per On Demand Linux c5.xlarge Instance Hour,dedicated,Compute,5179.679999999999,AWS || $0.194 per On Demand Linux c5.xlarge Instance Hour,AWS || $0.194 per On Demand Linux c5.xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.768 per On Demand Linux c5.4xlarge Instance Hour,dedicated,Compute,4541.067142857143,AWS || $0.768 per On Demand Linux c5.4xlarge Instance Hour,AWS || $0.768 per On Demand Linux c5.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$1.536 per On Demand Linux m5.8xlarge Instance Hour,dedicated,Compute,4427.547142857143,AWS || $1.536 per On Demand Linux m5.8xlarge Instance Hour,AWS || $1.536 per On Demand Linux m5.8xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.023 per GB - first 50 TB / month of storage used,Uncategorized,Storage,4381.378571428571,AWS || $0.023 per GB - first 50 TB / month of storage used,AWS || $0.023 per GB - first 50 TB / month of storage used || Uncategorized || Storage,,False,shared_overhead
AWS,$0.0125 per GB-Month of storage used in Standard-Infrequent Access,grid,Storage,4074.3685714285716,AWS || $0.0125 per GB-Month of storage used in Standard-Infrequent Access,AWS || $0.0125 per GB-Month of storage used in Standard-Infrequent Access || grid || Storage,,False,shared_overhead
AWS,$0.022 per GB - next 450 TB / month of storage used,grid,Storage,3961.2885714285717,AWS || $0.022 per GB - next 450 TB / month of storage used,AWS || $0.022 per GB - next 450 TB / month of storage used || grid || Storage,,False,shared_overhead
AWS,$0.05 per GB-Month of snapshot data stored - EU (Ireland),dedicated,Storage,3723.7042857142856,AWS || $0.05 per GB-Month of snapshot data stored - EU (Ireland),AWS || $0.05 per GB-Month of snapshot data stored - EU (Ireland) || dedicated || Storage,,False,shared_overhead
AWS,$0.021 per GB - storage used / month over 500 TB,Uncategorized,Storage,3693.2342857142858,AWS || $0.021 per GB - storage used / month over 500 TB,AWS || $0.021 per GB - storage used / month over 500 TB || Uncategorized || Storage,,False,shared_overhead
AWS,$0.085 per On Demand Linux c5.large Instance Hour,dedicated,Compute,3319.5014285714283,AWS || $0.085 per On Demand Linux c5.large Instance Hour,AWS || $0.085 per On Demand Linux c5.large Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.864 per On Demand Linux c5n.4xlarge Instance Hour,dedicated,Compute,3138.8971428571426,AWS || $0.864 per On Demand Linux c5n.4xlarge Instance Hour,AWS || $0.864 per On Demand Linux c5n.4xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
AWS,$0.46 per On Demand Linux m5.2xlarge Instance Hour,dedicated,Compute,3097.0499999999997,AWS || $0.46 per On Demand Linux m5.2xlarge Instance Hour,AWS || $0.46 per On Demand Linux m5.2xlarge Instance Hour || dedicated || Compute,,False,shared_overhead
